close_time,open,high,low,close,volume,asset_volume,num_trades,taker_base_volume,taker_quote_volume,SMA_20,SMA_60,RSI,Bollinger_up_20,Bollinger_down_20,DIF,DEA,MACD,OBV,ATR
2017-12-01 08:00:00,9687.88,10900.0,8850.8,9838.96,9389.574329,91430904.34116387,41153.0,5360.660242,52384338.03597776,7898.293000000001,6462.327666666667,75.80169513518177,10241.245685094944,5555.340314905057,808.5584,644.7475,327.6218,187764.195974,773.7895000000001
2017-12-02 08:00:00,9837.0,10898.0,9380.0,10782.99,6134.923633,62260697.58291551,32375.0,3269.868588,33193672.16592109,8064.892,6553.335666666667,80.92395234194848,10464.458259346386,5665.325740653615,836.391,683.0762,306.6296,193899.119607,814.7905000000001
2017-12-03 08:00:00,10775.04,11190.0,10620.0,10890.01,4765.439757,52046689.84006951,29694.0,2390.194275,26111051.97904352,8291.789,6660.052166666666,81.40451258518378,10821.473751201,5762.104248799002,923.9728,731.2555,385.4346,198664.559364,778.0410000000002
2017-12-04 08:00:00,10902.69,11825.0,10500.0,11165.41,5346.636524,60350708.29332783,39335.0,2574.246187,29090180.16290429,8545.738000000001,6769.719,82.61801980203535,11046.410908340753,6045.06509165925,990.5987,783.1242,414.9491,204011.195888,794.4170000000001
2017-12-05 08:00:00,11165.41,11600.0,10802.0,11579.0,4663.424562,52814985.63993067,32232.0,2516.855031,28512751.47162289,8780.708999999999,6885.666,84.27741395114457,11340.996235167982,6220.421764832015,1053.4788,837.1951,432.5675,208674.62045,815.6215000000002
2017-12-06 08:00:00,11571.03,11853.0,11447.68,11699.99,5550.732055,64721253.04527842,31317.0,3135.630565,36570499.65542363,9030.9095,7007.108833333334,84.73647380130457,11660.691014274504,6401.127985725496,1123.7313,894.5023,458.458,214225.352505,799.7370000000001
2017-12-07 08:00:00,11699.99,13615.23,11665.58,13550.05,6707.946319,84409526.69576178,40196.0,3830.098381,48223185.56586906,9253.905999999999,7129.292,89.69239288521314,11998.167624956011,6509.644375043987,1175.6181,950.7255,449.7851,220933.298824,854.0195
2017-12-08 08:00:00,13541.01,16649.96,13050.0,16599.0,7487.065695,109555325.34649763,57541.0,3931.041376,57501459.77355417,9538.1835,7281.4095,93.46071912496977,12804.671930305047,6271.695069694952,1350.4558,1030.6716,639.5685,228420.364519,1007.1175
2017-12-09 08:00:00,16599.0,17204.99,14015.0,15880.0,17589.013136,271586476.6191431,84727.0,11950.291812,184080403.13797045,9983.173999999999,7480.726166666666,85.52063964574447,14412.624442616518,5553.723557383481,1715.2683,1167.5909,1095.3547,-246009.377655,1146.7175000000002
2017-12-10 08:00:00,15880.01,16269.3,12535.0,14656.07,13918.758687,205372672.98786432,66738.0,7988.323023,118308773.57971703,10389.077,7665.610333333333,73.9962527149956,15409.848167343232,5368.305832656766,1924.1866,1318.91,1210.5531,-259928.13634199998,1309.7915
