,open_time,open,high,low,close,asset_volume,num_trades,taker_quote_volume,symbol,pct_chg
1054477,2022-03-17 22:30:00,1.0,28.0,1.0,9.99,42570275.338517,86815.0,25114543.133106,APEUSDT,-70.18800358102058
1054478,2022-03-17 22:35:00,9.99,14.7072,9.101,9.2299,45307956.519975,81906.0,21792793.240085,APEUSDT,-7.608608608608602
1054479,2022-03-17 22:40:00,9.2465,9.3628,8.7,9.11,25135543.511344,40714.0,10823818.836667,APEUSDT,-1.2990389928385082
1054480,2022-03-17 22:45:00,9.1125,9.5173,9.1,9.2,15706804.738008,28264.0,6591302.374883,APEUSDT,0.9879253567508295
1054481,2022-03-17 22:50:00,9.2067,9.2749,8.6001,9.0248,13875666.311372,30478.0,5250759.804894,APEUSDT,-1.9043478260869384
1054482,2022-03-17 22:55:00,9.0243,9.25,8.8888,8.9091,8146987.175584,21004.0,4016725.534658,APEUSDT,-1.2820228703129155
1054483,2022-03-17 23:00:00,8.8895,9.2434,8.8406,9.2,9131552.47408,21837.0,5315120.45623,APEUSDT,3.2652007497951496
1054484,2022-03-17 23:05:00,9.1991,9.299,9.02,9.1426,8134160.317074,18531.0,4470310.826564,APEUSDT,-0.6239130434782525
1054485,2022-03-17 23:10:00,9.1433,9.1438,8.74,8.8071,6300516.366947,15848.0,2008279.940688,APEUSDT,-3.66963445846914
1054486,2022-03-17 23:15:00,8.8089,9.0,8.7536,8.9236,3777890.748758,12242.0,1950552.523788,APEUSDT,1.3227963801932585
1054487,2022-03-17 23:20:00,8.9178,8.9897,8.75,8.75,2847017.817092,10055.0,1215383.362645,APEUSDT,-1.9454032005020494
1054488,2022-03-17 23:25:00,8.75,8.7585,8.3581,8.6489,8193539.839481,21889.0,3243965.378906,APEUSDT,-1.155428571428574
1054489,2022-03-17 23:30:00,8.6489,8.7975,8.45,8.4696,5806312.326358,12994.0,1833750.528294,APEUSDT,-2.0730960006474786
1054490,2022-03-17 23:35:00,8.4623,8.5332,8.12,8.128,6035785.86472,16311.0,2201485.358758,APEUSDT,-4.033248323415506
1054491,2022-03-17 23:40:00,8.1289,8.2452,7.762,7.904,8342582.119793,19698.0,2996371.512575,APEUSDT,-2.75590551181103
1054492,2022-03-17 23:45:00,7.9062,8.0782,7.9,7.9039,6635057.111225,14709.0,2451300.043597,APEUSDT,-0.0012651821862275092
1054493,2022-03-17 23:50:00,7.9035,8.03,7.551,7.6358,5314926.795872,15750.0,1927038.717027,APEUSDT,-3.39199635622921
1054494,2022-03-17 23:55:00,7.6478,7.6971,7.2372,7.3658,7593566.063855,19244.0,4008789.815946,APEUSDT,-3.535975274365488
